parcode,trial,rt,choice,item_left,item_right
0,367,3490,1,0,2
0,368,7530,1,0,2
0,369,5110,1,0,2
0,370,2430,1,0,2
0,371,1680,1,0,2
0,372,1910,1,0,2
0,373,1900,1,0,2
0,374,610,-1,0,2
0,375,3100,1,0,2
0,376,4090,1,0,2
0,377,1080,1,0,2
0,378,1330,1,0,2
0,379,3370,1,0,2
0,380,5340,1,0,2
0,381,960,1,0,2
0,382,1770,1,0,2
0,383,1350,1,0,2
0,384,1980,1,0,2
0,385,1660,1,0,2
0,386,560,1,0,2
0,387,4330,1,0,2
0,388,3510,1,0,2
0,389,1310,1,0,2
0,390,1220,1,0,2
0,391,5500,1,0,2
0,392,2810,1,0,2
0,393,5560,1,0,2
0,394,2290,-1,0,2
0,395,1120,1,0,2
0,396,900,1,0,2
0,397,2570,1,0,2
0,398,3710,-1,0,2
0,399,4820,1,0,2
0,400,850,1,0,2
0,401,2710,1,0,2
0,402,1920,1,0,2
0,403,2650,1,0,2
0,404,1390,1,0,2
0,405,2430,1,0,2
0,406,2600,1,0,2
0,407,2330,-1,0,2
0,408,2800,1,0,2
0,409,2680,1,0,2
0,410,8510,1,0,2
0,411,3830,1,0,2
0,412,3980,1,0,2
0,413,1960,1,0,2
0,414,1750,-1,0,2
0,415,2150,1,0,2
0,416,2630,-1,0,2
0,417,430,1,0,2
0,418,810,1,0,2
0,419,2900,-1,0,2
0,420,1460,1,0,2
0,421,3300,-1,0,2
0,422,1930,1,0,2
0,423,2980,1,0,2
0,424,1270,-1,0,2
0,425,1760,1,0,2
0,426,890,1,0,2
0,427,7110,1,0,2
0,428,1790,1,0,2
0,429,1480,1,0,2
0,430,2920,-1,0,2
0,431,2300,1,0,2
0,432,1320,1,0,2
0,433,1870,1,0,2
0,434,2860,1,0,2
0,435,3200,1,0,2
0,436,1070,1,0,2
0,437,650,-1,0,2
0,438,3460,1,0,2
0,439,1380,1,0,2
0,440,1830,1,0,2
0,441,1850,1,0,2
0,442,1460,-1,0,2
0,443,540,1,0,2
0,444,2260,1,0,2
0,445,460,1,0,2
0,446,1770,1,0,2
0,447,2470,1,0,2
0,448,1050,1,0,2
0,449,1420,1,0,2
0,450,1450,1,0,2
0,451,2200,1,0,2
0,452,4190,1,0,2
0,453,3340,1,0,2
0,454,4230,1,0,2
0,455,3080,1,0,2
0,456,2860,-1,0,2
0,457,2850,1,0,2
0,458,3200,1,0,2
0,459,610,1,0,2
0,460,840,1,0,2
0,461,820,1,0,2
0,462,1200,1,0,2
0,463,3420,1,0,2
0,464,1120,-1,0,2
0,465,1490,1,0,2
0,466,2420,1,0,2
0,467,3120,1,0,2
0,468,8550,-1,0,2
0,469,2210,1,0,2
0,470,1500,1,0,2
0,471,900,1,0,2
0,472,1160,1,0,2
0,473,1710,1,0,2
0,474,3610,1,0,2
0,475,710,1,0,2
0,476,2500,1,0,2
0,477,1920,1,0,2
0,478,3090,1,0,2
0,479,2570,-1,0,2
0,480,2960,1,0,2
0,481,3610,1,0,2
0,482,2090,1,0,2
0,483,1320,1,0,2
0,484,1530,1,0,2
0,485,990,1,0,2
0,486,6150,1,0,2
0,487,1960,-1,0,2
0,488,360,1,0,2
0,489,2070,-1,0,2
0,490,2290,1,0,2
0,491,3130,1,0,2
0,492,4230,1,0,2
0,493,710,1,0,2
0,494,680,-1,0,2
0,495,1150,-1,0,2
0,496,1160,1,0,2
0,497,2050,1,0,2
0,498,600,-1,0,2
0,499,2790,1,0,2
0,500,3290,-1,0,3
0,501,2060,1,0,3
0,502,600,1,0,3
0,503,2260,1,0,3
0,504,1630,1,0,3
0,505,910,1,0,3
0,506,3370,1,0,3
0,507,1780,1,0,3
0,508,4950,1,0,3
0,509,840,-1,0,3
0,510,1110,1,0,3
0,511,780,1,0,3
0,512,2120,1,0,3
0,513,2620,1,0,3
0,514,1610,1,0,3
0,515,3040,1,0,3
0,516,900,1,0,3
0,517,1290,1,0,3
0,518,1520,1,0,3
0,519,3500,-1,0,3
0,520,2400,1,0,3
0,521,2020,1,0,3
0,522,820,1,0,3
0,523,4170,1,0,3
0,524,1420,1,0,3
0,525,860,1,0,3
0,526,1170,1,0,3
0,527,3680,1,0,3
0,528,1690,1,0,3
0,529,2970,1,0,3
0,530,1040,1,0,3
0,531,1030,-1,0,3
0,532,3060,1,0,3
0,533,1080,1,0,3
0,534,500,1,0,3
0,535,1440,1,0,3
0,536,590,1,0,3
0,537,1690,1,0,3
0,538,570,1,0,3
0,539,3570,1,0,3
0,540,5050,1,0,3
0,541,5360,1,0,3
0,542,2270,1,0,3
0,543,750,1,0,3
0,544,6390,1,0,3
0,545,830,1,0,3
0,546,2370,1,0,3
0,547,2230,1,0,3
0,548,2650,1,0,3
0,549,2310,1,0,3
0,550,740,1,0,3
0,551,2130,1,0,3
0,552,1260,1,0,3
0,553,3690,1,0,3
0,554,400,-1,0,3
0,555,1870,1,0,3
0,556,490,1,0,3
0,557,1430,1,0,3
0,558,1050,1,0,3
0,559,6480,1,0,3
0,560,500,1,0,3
0,561,3430,1,0,3
0,562,4120,1,0,3
0,563,1890,1,0,3
0,564,680,1,0,3
0,565,1100,1,0,3
0,566,3390,1,0,3
0,567,3070,1,0,3
0,568,1980,1,0,3
0,569,1410,1,0,3
0,570,2430,1,0,3
0,571,1230,1,0,3
0,572,910,1,0,3
0,573,620,1,0,3
0,574,1290,1,0,3
0,575,4320,1,0,3
0,576,1020,1,0,3
0,577,1660,1,0,3
0,578,2010,1,0,3
0,579,4020,1,0,3
0,580,630,-1,0,3
0,581,1030,1,0,3
0,582,1860,1,0,3
0,583,1880,1,0,3
0,584,1920,1,0,3
0,585,3160,1,0,3
0,586,960,1,0,3
0,587,1790,1,0,3
0,588,1970,1,0,3
0,589,360,-1,0,3
0,590,5870,1,0,3
0,591,4260,-1,0,3
0,592,3400,1,0,3
0,593,1550,1,0,3
0,594,2140,1,0,3
0,595,3020,1,0,3
0,596,970,1,0,3
0,597,3460,1,0,3
0,598,1450,1,0,3
0,599,1050,1,0,3
0,600,4950,-1,1,0
0,601,1420,1,1,0
0,602,1280,1,1,0
0,603,1460,-1,1,0
0,604,2440,-1,1,0
0,605,580,-1,1,0
0,606,1080,1,1,0
0,607,840,-1,1,0
0,608,5500,-1,1,0
0,609,2740,-1,1,0
0,610,1190,-1,1,0
0,611,2500,-1,1,0
0,612,680,1,1,0
0,613,1290,-1,1,0
0,614,1010,1,1,0
